text1,text2,label
A soldier apprehending a suspect.,not watched at alll,0
Handsome couple kissing on the street.,a coup[le kiss on the street,1
Two firemen standing next a firetruck in the dark.,Two firemen stand next to a big truck.,1
A woman in a light colored dress is singing to an audience.,A person is performing.,1
A worker suspended in the air.,A dog suspended in the air.,0
A girl in a bathing suit stands in front of a striped wall.,The girl standing in front of a striped wall is wearing a swimsuit.,1
"Two moped enthusiasts, one of which is wearing a purse, have a conversation on the curb.",Two moped enthusiasts are having a conversation.,1
Looking in a window of a busy shop in the Orient.,The shop has no windows.,0
A woman begins to climb onto her bike.,A large fish has just fallen on a vicar's head.,0
A group of five men are standing on a dock.,The men are near the water.,1
A man is performing a jump on his snowboard.,A man is exercising.,1
A shaggy dog runs in front of three people on the beach.,An bear playing around a group.,0
a man sits on a boat stuck in the sand.,A man is outside.,1
Two women in library the librarian assist the other women to help in her research.,People are helping other people in the library.,1
A female performer sings and plays the guitar in front of a microphone.,A dog is reading the newspaper.,0
The child lifts his arm as he stands at the edges of the fountain in the courtyard as the water sprays over the edge.,The child is mowing the grass outside.,0
"A woman in an apron stands behind a counter with several pans of food on it, and someone else stands bent over behind her.","A woman stands behind a counter, while someone bends behind her.",1
Two young girls pose together and display sheets of paper with a line art animal.,Two girls sleeping.,0
Three children pull on a length of rope while adults and other children look on in the background.,Three children hold a snake and tease the adults who looked on in horror.,0
Two teams that appear from college playing basketball.,Two teams from a university play.,1
People sit on the edge of the water of a canal in a European city.,A group of people sit near a body of water.,1
People on a crowded subway car.,The people are in an airplane,0
Many buildings and stores are shown with cars and people on the sidewalk and street.,People are in a city filled with buildings and cars.,1
crowd of people walking in the street,Two people are running down the street.,0
a snowboarder in an orange jacket is airborne on a snowboard.,A snowboarder is catching some air on a snowboard.,1
Two barefooted women are walking with large containers over their heads.,Two women walk along barefoot.,1
"A crowd of people look at something out of frame, one man takes a picture.",A man takes a picture.,1
Only a few people are enjoying the day at the beach near the yellow bulldozer.,It is raining at the beach today.,0
Many tourist walk the cobblestone streets in the evening.,The tourists were watchign tv,0
a city area and a woman with her family.,The woman is in the city.,1
a man in a brown suit passes by a bus stop in the city.,A man in a brown suit in the city.,1
Tourists are walking past a van.,The tourists live and work here.,0
A man and woman stand at the top of cement stairs together.,A man and woman sit at the bottom of cement stairs together.,0
A little girl in a blue dress climbing on some old wood.,The girl is slipping on the grass.,0
A group of people running a bicycle race past a red building.,Only one person races by a building,0
A woman in a white tank top and blue jean shorts talks on her cellphone while another woman in a blue tank top and gray slacks texts on her cellphone.,Two girls stand side by side communicating via their cell phones to each other.,0
A woman on stilts is making balloon animals for others.,A person is using baloons make something,1
A man leaning up against a tree while listening to a music player.,A man is leaning.,1
Two men wearing sandals walking.,The two men were barefoot.,0
A person is on a small boat and going down some very strong water currents.,A tumbleweed rolls across the street.,0
Two friends ride a bicycle.,Two people eating at a hot dog stand.,0
A woman in formal riding gear riding her horse on the beach.,The horse is grazing in a field.,0
A man with no shirt and wearing sunglasses is holding a football.,A shirtless man wears sunglasses and holds his football.,1
A crowd of people appear to listen to a speaker while a man and a woman talk behind them.,A crowd of people listen to a rock band while two women talk behind them.,0
A basketball player is looking up and set to throw the ball.,A woman puts on a jacket.,0
Two children run on the beach.,the children are sleeping.,0
An elderly woman looks at a bag of fruit while others look on.,"A man eats a hot dog,",0
A band performing on stage while the crowd observes with there hands in the air.,The band is practice by themselves.,0
"Two people sit on a bench in front of a picture of a woman with long, messy hair and a huge diamond necklace.",A picture of a women with long hair wearing a necklace.,1
A bicycle racer in full helmet speeds through a dim forest.,A bicyclist races through the forest.,1
People gathered in an artist's studio.,The artist was alone in a hotel room.,0
Two women ascend a telephone pole with special boots and straps on their waists.,Two women are climbing.,1
A musician playing the guitar and singing.,An artist is painting in silence.,0
A woman rock dives feet first arms above head as another woman swims away.,A woman jumps into water.,1
"A group of girls and guys hang out, one is making a sad face.",A group is hanging out.,1
One man in plaid standing in a backyard.,A man wearing a plaid is standing in a backyard,1
People hanging about in a crowded cafe.,people hang around in a cafe,1
A man in a red cap with a nose ring.,The man has no body piercings.,0
A woman holding a black and white hand bag is looking at the bus schedule.,A woman holding a hand bag.,1
"Two children soccer players battle over a ball, one wears white with red stripes and is black, the other, number 11 is an unknown race and wears yellow and black a, numbers 11's teammate is blurred near the goal post.","There are two children in this picture, and they are competing against each other.",1
A woman with reddish hair applies mascara to her eyelashes.,A woman is doing makeup.,1
A boy does a flip while another boy stands on the Matt.,A boy is athletic.,1
A large dog and two smaller dogs running around in the snow.,Three dogs are in the snow.,1
Two men are working computer DJ equipment in the dark.,Two men are in a dark place,1
A baseball player who is about to slide into the base.,A man is playing baseball.,1
A man in swimming trunks is standing against some rocks.,There are rocks in this outdoor scene.,1
A boy is kicking up dust as he runs in the dirt by a tree.,Dust is being kicked up as a boy runs by a tree,1
A martial arts group practicing their kicks.,A group celebrating at a restaurant.,0
A sushi restaurant with a man cooking while in the background is a man and young boy sitting at a table.,"The waitress for the evening is Queen Elizabeth, she will be taking orders.",0
A baseball player holds his bat and gets ready for the game.,A baseball player is ready for the game.,1
An extreme bicyclist hangs in the air with the sky in the background.,woman bowling,0
A child in a white dress.,There is a child swimming.,0
A girl in a black dress walks on a boat.,A girl walks on yacht.,0
A young child is shouting with people around him.,A child is singing very loudly.,0
Young man wearing an apron cooking in a kitchen.,The young man is eating at a cafe.,0
Young African American child with beads in her hair looking at the camera and covering her mouth with a coat on.,The young child is taking a picture.,0
Four people sit and listen to a woman in a blue scoop neck talk with two bystanders in the background.,a group of people listen to a woman talking,1
A crowd of people outside of a chine's temple.,there is no crowd,0
"A skateboarder in the air at a big, outdoor ramp.",the frog eats pigs,0
"Two men, one playing a purple guitar and the other playing an accordion, sitting on stone steps.",Two men are standing on a hilltop.,0
A man is sitting outside designing decorative stone works.,The person is standing up.,0
A man in a beige suit is playing a trumpet into a microphone.,A man is playing an instrument,1
A man stands next to a bank of computer gambling machines.,The man is standing.,1
A young man shocks the audience with his skateboard tricks.,The young man knows skateboard tricks.,1
"A crowd is watching a performance in a dark venue, and one man is taking a photo.",Nobody is documenting the event.,0
A young boy doing a wheelie on his bike.,A boy crashes his bike.,0
Competitors getting ready to compete in a grand opening event hosted by the chief executive,Nobody is getting ready,0
The man in a red checkered shirt is having beer and playing frisbee in the park.,Man is drinking beer and throwing frisbee,1
"A man with glasses holds a sign that says ""FREEWORD"".",The man is holding a sign.,1
A woman wearing a scarf is tailgating.,The woman is wearing clothing,1
"Two young boys playing, with the younger boy sitting and smiling.",The boys are playing and at least one is enjoying it.,1
A man in a hard hat and orange safety vest stands near a wall holding a tray while a man in a blue hard hat watches.,Two people are wearing cowboy hats.,0
Two musicians are performing.,Two musicians create new instruments,0
"Two chinese ladies walking down sidewalk surrounded by live trees, shrubs, and romantic shops.",Two woman walk down the sidewalk.,1
A small boy in a red shirt and black shorts pushing a broom outside a house on the driveway next to a toy basketball hoop.,A small boy is wearing red.,1
A woman walks by a tall black door.,A woman is on her feet.,1
A group of people riding a yellow roller coaster.,A group of people are riding a roller coaster.,1
Men wearing hats stand with arms folded.,Men are standing with their hats in their hands.,0
This man is surfing.,A man is on water.,1
Two kids lie on a rug near wooden blocks and smile.,Two kids smiling.,1
"A man wearing a helmet, red pants with white stripes going down the sides and a white and red shirt is on a small bicycle using only his hands while his legs are up in the air, while another man wearing a light blue shirt with dark blue trim and black pants with red stripes going up the sides is standing nearby, gesturing toward the first man and holding a small figurine of one of the seven dwarves.",Two men put on a show.,1
Two women wearing saris carry bricks on their heads.,The women are sleep,0
People sit at tables drinking and talking.,There are people in a public building.,1
A man performing dangerous construction work.,A person is working.,1
Women standing outside to use the potty.,The women are sitting on a bench.,0
Two cooks in the kitchen cooking.,Three cooks in the kitchen cooking.,0
"A woman, wearing goggles, a wetsuit and a swim cap, swimming in a large body of water.","A man, wearing goggles, a wetsuit and a swim cap, swimming in a large body of water.",0
A man in a red shirt is watching a football game.,Nobody is watching,0
A man wearing a visor turns his head and smiles.,the child is sleep,0
Two dogs are wrestling in a grassy field.,The animals are in a doghouse.,0
Crowd waiting on Main Street subway platform for a train.,The crowd was on the Main Street train platform,1
Father is pushing his son on the track.,The boy is on the track.,1
Two men with paddles in the water.,Two men in water,1
A woman looks at art in a gallery while two children sit on the floor.,A woman is eating a meal with two children.,0
Two Asian men smile at the camera.,Men are smiling for a picture.,1
The back of a man with black shorts and a white shirts walking next to a building.,A man in black an white clothes walks next to a building.,1
Someone parasailing with a green parachute that has a face on the top of it,Someone is flying over the ocean.,1
People are skating in a outdoor rink around a huge Christmas tree.,People are ice skating during the Christmas season.,1
Cyclist speeding down the trail.,The cyclist is riding a bike.,1
The three men are talking and enjoying music and a beverage.,girls enjoying music,0
Family sitting on tractor loaded with hay near the water.,Family sitting in a truck on the way to the farm.,0
A child with his mouth on a red plastic toy.,The child is licking on the toy.,0
A person and a child riding a lawn mower down the road.,The mower is in the road,1
"Woman in green shirt, walking dog down a trail.",The woman is near a dog.,1
An elderly woman is pushing a cart full of eggs.,a female walking behind a cart,1
A man is standing in the shallow water holding a hoe and looking at something.,A person has farming equipment in hand.,1
A man listens to someone on the phone with an estranged look on his face behind a fruit stand.,The man is standing behind the fruit stand.,1
"Two women chained together, one in a red dress, the other in a blue shirt.",The two men are wearing handcuffs.,0
A young boy sits outside and peddles for money while playing an accordion.,The wealthy female musician plays her flute.,0
A man in a gray shirt and khaki pants sits on a camping chair.,The man sits on a bench.,0
2 men are working to clean the roof of a building with another man watching.,A man is watching other men clean the roof of a building.,1
The man in the straw hat smokes a cigarette.,A man is inhaling something.,1
"A man is running in snowshoes across a snow covered field, with mountains in the background.",The man is ice skating.,0
A man in a yellow jumpsuit is standing outside next to brown bags on the ground.,A man is sleeping.,0
There is a tree or vine on the side of the building.,The food eats the plate while dancing,0
A little boy kicking in the style of martial arts.,The children are swimming in the lake.,0
Several people wearing colorful clothing and hats perform in an open area.,A group of preformers are putting on a presentation,1
Two men in orange coveralls shovel snow off railroad tracks.,Two men are wearing short sleeves shirts.,0
Six men appear to be reacting to the ground punch of a man dressed in black as a beautiful blue pervades the ocean and sky that seem to merge with beach.,The men are playing basketball at the gym.,0
A man in a Hawaiian shirt is playing an orange electric guitar on a stage.,There is man in a Hawaiian shirt performing on a stage.,1
Old people are playing bocce ball.,Two young people sit and watch TV.,0
Rollerblader in the air above a ramp.,Rollerblader off the ground above a ramp.,1
A man moving rocks out of a wheel barrel.,A man is working.,1
Children playing soccer on a field.,Kids playing sports.,1
"The crowd watches the horse, staring at the cowboy as he leaves the arena, wondering what will happen next.",The crowd watches the pig.,0
People walking down street lined with Chinese lanterns.,People walking outside,1
A group of people are walking across a snowy pathway while all wearing hard hats.,A group of people are walking.,1
"Across from the Bank of Oklahoma, a woman enjoys the scent of her tea.",There were no other banks within 50 miles.,0
A dog sits in a car with its tongue sticking out.,A dog is in the car.,1
A group of men playing a game of chess in the pool.,Men are playing a game together in the water.,1
A man in green carries goods down a crowded street.,The street is empty.,0
a biker bikes through the woods.,A person runs in the woods.,0
A man videotapes while a man nearby watches a young boy looking down at his shadow.,A man is holding a video camera.,1
Three children pose outdoors on a hike.,Children are outdoors.,1
a small dog sits under a bench.,A kitten sits on a bench,0
A person riding a bike outside wearing a helmet.,A woman makes lasagne.,0
two trees in town in front of building,There are two trees.,1
Three people are in the snow.,They are playing at the beach.,0
Two people are walking down a street together.,Two people are outdoors.,1
A woman in a white and blue shirt is standing next to a large fish that is hanging up.,A man standing beside a deer,0
People walking on a path in front of a bridge.,There is a pathway you can walk in front of the bridge,1
a man walks his dog near the ocean.,The man is terrified of the ocean and likes to scare himself.,0
The man leaps above the other team to spike the ball.,He leaped about the other team to hit the ball.,1
A black dog runs along a field where black birds are beginning to fly.,The dog is running inside.,0
a couple of people in the desert walking in front of a large tan camel,A man and a woman are walking on sand.,1
A street musician playing his instrument.,A street performer makes music.,1
"Bearded man wearing sunglasses, hat and leather jacket standing by an orange life preserver.",A man's arms are covered.,1
A man wearing a green jacket sitting down on a chair.,A woman in a green jacket stands near a chair.,0
A hiker posing for a photo in an arid mountain landscape.,Photo is being taken.,1
A red liquids travels down a grate as it leaks across a street.,the red liquid is outside,1
A man in a white shirt and black pants stands with his left hand on top of his head.,A man is wearing a shirt and pants,1
"Two woven chairs in the side, and behind them is the vast ocean.",Two chairs sitting by a large body of water.,1
A man holding a microphone in front of a person's face.,A man is holding a microphone.,1
Several men wearing different colors are having a bike rally.,There are bikes with the men.,1
A boy is riding down a bounce slide.,A boy is swinging on a swingset.,0
A lady stand in front of a red truck holding her dog.,The woman is taking her cat to the vet.,0
"A woman in a white sundress and a straw hat and using crutches, stands outside by a poster on a building wall and looks through her purse.",A woman hobbles on crutches past the building.,0
A guy on a surfboard.,A man drowning in the ocean with his surfboard.,0
"People are playing a game of ball in the pool, one swimmer is trying to throw the yellow ball into the goal.",Some water polo players.,1
People are walking down a walkway surrounded by buildings.,People are walking down a walkway outdoors.,1
A tattoo artist tattoos a rose onto a man's arm.,A tattoo artist puts the tattoe of a rose on a mans arm inside a tattoo parlor.,1
Two men on a construction site with a one way sign in the foreground,The men are planting a tree.,0
A man in a hat plays an unusual instrument for cash next to the metro exit.,Man playing musical instrument,1
Several people listening to information in a conference or town hall.,The people are playing baseball.,0
Woman standing in a parking lot by vehicles.,A woman sits by vehicles.,0
A man is holding a blond child in a pool.,A man and his child are swimming.,1
A Statue of Liberty street performer stands outside while pedestrians pass.,A performer is in front of the Statue of Liberty.,1
A man in cold-weather gear holding a large camera.,Man holding a camera.,1
The skateboarder is performing a trick off a ramp.,Skateboarder is doing tricks.,1
a man wearing a black shirt and blue shorts falling down a sandy hill with birds at the top of it.,A man tripped and is tumbling down a sandy hill while the bird is watching him.,1
A crowd of people at restaurant eating.,People are at a homeless shelter.,0
"A brunette woman, who is wearing a black shirt, blue jeans, and sandals, is giving a woman a haircut.",A man is giving a woman a haircut.,0
A brown dog is sitting near a large rock.,puppies walking,0
A man writing on a poster.,A man is writing,1
Two girls trying to get to the bus station to go home.,The girls are not at their home.,1
A person wearing gloves drilling a hole into the side of a bottle.,A man with bare hands is holding a glass bottle.,0
A woman in a sweater plays the harp.,A woman is playing an instrument.,1
Cyclist riding his bicycle in a race.,The cyclist is racing.,1
Woman Hanging upside down from a ladder.,A woman is hanging upside down from a pole.,0
A young man is presenting another woman with a cake with three candles on top.,A man is presenting a woman a cake with candles.,1
Some people are standing alone on the beach in their swimsuits.,People are outside.,1
A man using a leaf blower in a garden.,A man is eating ice cream on the beach.,0
A woman is putting her dark clothes in the dryer.,A woman is putting clothes in the laundry.,1
Many people dancing in a sandy desert.,people dance together,1
A group of black children posing for the camera.,The children are singing,0
A man dirt biking through some mud in full costume.,The man is riding a dirt bike.,1
An airplane is flying over the mountain trying to extinguish a fire.,A machine flying through the air near smoke.,1
"Two black dogs are running in the grass, one has a green ball in his mouth.",Two dogs run in the grass.,1
Two people with hoods up are holding hands.,The people are standing five feet from each other.,0
A construction worker helps align the cement plate on the road.,A construction worker is outside working,1
Three people overlook a green valley.,Three people looking down at green grass outside.,1
"A man working on road construction is wearing a white hard-hat, yellow vest and jeans.",a boy plays with a construction set,0
A woman bites into a chicken skewer.,A woman eating steak.,0
A girl is walking among trees and carrying a guitar.,Girl drags her piano,0
A man is bowling at an alley with cosmic imagery including bowling balls and pins above the lanes.,The man is at cosmic bowling.,1
Woman makes a face while playing the board game Clue.,A woman eats a sandwich at the kitchen table.,0
The man holds a wooden paddle in a canoe with his dog.,A man sitting on the beach alone.,0
Two people are riding a motorcycle along with many other riders.,Two people are riding a motorcycle outdoors.,1
Cyclists and pedestrians mark and intersection on a weekday.,Cyclists and pedestrians at an intersection.,1
A man wearing a red life vest waves as he waterskiis.,A man waves as he waterskiis.,1
A city street with two ladies that have shopping bags in their hands with a crowd behind them.,The ladies are playing chess on the sidewalk.,0
A woman with glasses is sitting in front of her laptop in a library.,A woman sits at home looking at porn.,0
Shirtless man listens to his iPod while competing in a running race.,A man sits on a porch listening to his iPod.,0
"Two people are in a river, one is a standing man and the other appears to be a child lying on his stomach with his chest and head above the water.",The man sits while the child stands in the river.,0
A young boy going headfirst down a slide.,A young boy is playing on a slide,1
A yellow team soccer player is jumping on two blue team players while other players run along side.,Yellow team wants win.,1
Guys are running in a marathon.,The guys are walking,0
"A man in a stadium, surrounded by people, is holding up an orange, white, and green flag from his seat while watching a soccer game.",A man is at home watching the news.,0
Two people have climbed to the top of a ladder while one man in blue stands behind the middle ladder.,three men sit in a park,0
A boy goes down an inflatable slide.,A boy slides down a slide.,1
Four men do repair work on a roof.,Four men work with tools.,1
A gymnast number 046 facing the center of the mat with hands above her head in the shape of a heart.,A gymnast is doing a routine.,1
A redheaded man wearing a kilt dancing with a redheaded woman wearing a green skirt in the spotlight of a darkened stage.,There are multiple people present.,1
A gathering of people is viewed under a tent listing a Northern Michigan Regional Wine & Food event.,A gathering of people are listing a Northern Michigan Regional Wine & Food event outside.,0
"A male construction worker in a hard-hat, hitting a nail into a board.",The worker is taking apart the building.,0
A man is falling out of his kayak as his paddles go flying.,There was a man in his kayak.,1
Children playing on a playground sliding down a slide.,Some people are playing outside.,1
A line of several people standing on the street side.,Nobody in line.,0
Man in blue is standing up in a small boat while paddling.,The man was fast asleep in the airplane.,0
2 women wearing brightly colored clothes are sitting next to a dirt road on a rock having a conversation while they're watching the field.,2 women sitting outside having a conversation.,1
A lot of people walking near a crosswalk in the rain.,People are in the rain.,1
A boy takes something from a box being held by a man in a bunny suit.,The boy is being kidnapped in a white van,0
A girl in a dress sitting on a red swing ride.,A girl in a brown t-shirt and pants is sitting on a green swing ride.,0
Dad and a child lay outdoors on a blanket.,A mother and daughter eating food on a blanket.,0
Costumed people walk down a Japanese street.,The people are dressed casually in a pub.,0
A yellow tractor sits on a hillside.,The yellow tractor is moving boulders.,0
This dish is very tasty and I enjoy this dish,There is no dish.,0
A woman and a child are sticking out their tongues for a photo.,The woman and child are cheering for their football team.,0
"A group of people wearing yellow shirts, with one woman wearing an orange tank top, biking on stationary bikes.",The people are exercising.,1
The lake looks very shallow.,The desert is dry.,0
many people stand around reading.,These people are reading.,1
A brown dog in a Superman shirt is laying on a blue blanket.,The dog is black.,0
A black woman watching her baby as it lays on a red blanket.,baby on blanket,1
"A dog runs through a lush, green lawn.",a dog plays outside.,1
A man on a lawn mower drives past a car.,A woman on a lawn mower drives onto a car.,0
a dog runs through the grass.,The dog is outside.,1
A few girls with green foam statue of liberty hats on a train,Two girls take a ride in a car.,0
Three girls or friends having drinks at a bar laughing.,The girls are at a rock concert.,0
Possible customers examining the wares of a street vendor.,The street vendor's wares have been entirely ignored.,0
"A man dressed in slacks and a tie is riding a bicycle, followed by another man doing the same, with a Walmart in the background.",Two men are riding scooters past a Walmart.,0
A woman in a butchers shop leans over a counter and handles a large strip of meat.,A woman handles meat.,1
A man drives a large truck.,there is a truck being drove down the road,1
A dog jumping off a dock into a pool of water.,A dog is walking along the water,0
A little boy in a bright green field has kicked a soccer ball very high in the air.,A boy watches soccer on TV at his house.,0
A person in a red shirt and helmet is going to ride a bike inside of a cage ball.,A person in a shirt and helmet is going to ride a bike.,1
A man stands in a hole.,A person is standing up.,1
Two stewardesses in blue suit await their next flight.,A pilot is waiting to disembark from the airplane.,0
A boy chasing a baseball.,The boy is running.,1
Two young girls are petting a miniature horse tied to a blue wagon.,Two girls are chased by a horse and wagon.,0
A man with a hand injury is walking with a cane in a park.,There is a man outside.,1
A man jumps off a ramp while riding a bicycle.,A man is performing tricks on his bicycle.,1
"A young women, dressed in a dark blue dance costume is participating in a cheer competition.",a cheerleader does her stuff in blue,1
"Woman wearing a hat, sitting in water in the desert.",The person is inside.,0
a blond child on a horse riding uniform carrying a teddy bear riding a donkey or pony.,A child is riding a horse.,1
A man with a gray shirt is mowing the lawn while his son is doing the same only with a toy lawn mower.,A man spent his time with his son.,1
A man pokes a fire with a stick while smiling.,The man is underwater.,0
A race car is drifting on the unpaved the road.,The car skids on the freeway.,0
A dark-skinned man wearing some sort of traditional garment is pouring a grain into a pot over a fire.,a man swims in a city pool,0
Man in green shirt eating.,A man is washing laundry.,0
A man in a blue shirt is spraying a sand sculpture.,An artist in blue works on a sand sculpture.,1
A young man in black is snowboarding during a heavy snowfall.,A guy wearing black shorts is on a surfboard in the ocean.,0
A man with a beard and a navy blue backwards baseball cap stares intently at something in the distance.,A woman sits with her eyes closed.,0
A lady sitting on a couch holding stitch in her arm,A woman is sitting at the kitchen table.,0
"Three young boys, are playing in the sand along the beach side.",Boys are building snow men.,0
Men in a cluster during a bike race,A group of men intensely watching a greyhound race.,0
A mexican man unfolds a large piece of paper at a birthday celebration.,A man is hitting the piniata,0
Children participate in a sack race.,GROWN PEOPLE WON EVERY RACE,0
A smiling boy hangs onto a zip-line structure at a playground.,A boy plays outside.,1
A baseball infielder is throwing the ball to a player standing on a base with his right foot.,A basketball player is throwing the ball.,0
A small child is getting ready to take a picture.,The child has a camera.,1
Two feet wearing yellow ski boots on ski,The person is about to ski.,0
Several women and men are lifting their arms straight up above their heads.,People cross their arms together,0
A young girl in a polka dot dress plays on a beach.,A girl plays in the snow.,0
people sit at tables next to hedges.,"There are several people in this photo, and they are all outside.",1
peoples working with a nice head seat,People working with a head seat,1
A couple trying to find their sets at a stadium.,The couple are watching a movie.,0
A blond women in a karate uniform has her right arm extended in a punch stance.,The woman is wearing a belt.,1
The lead singer visited with his band members and had the guitarist sing along with the song.,A band is playing a song.,1
"Three bicyclists racing down a busy street in the rain, with a red BMW and a motorcycle approaching from behind.",Three people are on bicycles.,1
a white dog jumping in the air to catch a Frisbee,The dog is black.,0
A woman in blue stands on a cliff's edge holding a shopping bag.,A woman totally naked stands on a cliff.,0
A large group of people at a party.,People are in line to get concert tickets.,0
A woman is wearing a red ribbon.,A man is wearing a yellow ribbon.,0
Two women sitting down reading newspapers.,Two women reading the paper together.,1
A side shot of a woman and young daughter standing up at a stadium watching an event.,the woman and her daughter are together,1
A musician wearing a black shirt is playing bass guitar while kneeling.,a musician in black,1
Black dog jumps through snowy field.,A dog jumps through the field.,1
Several people are playing in the fountains.,"A group of people is sitting quietly in the library, bone dry.",0
A young girl in pink is sitting on the ground.,A girl is resting on the ground,1
people walking through lobby with patches of daylight and shadow reflections.,It is nighttime.,0
This a man on a boat in calm water surrounded by trees.,A man is on a boat in a storm at sea.,0
"A boy in jeans, a helmet, and red shoes goes rock climbing indoors.",A boy is outside playing with a dog.,0
A woman and her child walking to a destination.,A couple of people are walking.,1
An alternatively dressed woman stands on a small wooden platform with an accordion and watches another creatively dressed woman play the violin with various other people on the street behind them.,The woman are riding bikes in the park.,0
A Muslim couple is walking through a shopping center.,The couple in the photo are religious.,1
"A lone male, dressed in khaki shorts and sneakers, holding a fishing rod, standing on the stairway of a fishing pier, while the sun sets over the horizon.",One man has shorts and sneakers on is fishing on the pier as the sun sets.,1
A family having a turkey dinner.,People eating grilled frankfurters.,0
Small boy in blue shirt swings happily.,A small boy is swinging.,1
A person climbs up a snowy hill while their dog follows.,A person is followed by a dog.,1
A lady walks up the steps from a subway.,The woman is exiting the dragons mouth.,0
This monster truck jumping over some cars.,The monster truck is backing up.,0
People are climbing stairs to a statue of several men.,They are running from the bear.,0
A young boy stands behind a woven mat under a roof of palm fronds.,A young boy stands behind a persian rug under a roof of bananas.,0
A toddler drinking from a cup in a toy car.,The toddler is driving a full-sized vehicle while drinking,0
A man in plaid strums and guitar while singing into a microphone in stage.,A man is making music on stage.,1
The little girl is standing in the rain.,The girl is sitting in the train station.,0
Middle-aged black man lays down to rest in public near a fountain as young girls have lunch.,A man is laying down outside.,1
a boy is standing on a sewer tube for fun.,A boy is having fun on a sewer tube.,1
"A large, brown dog is jumping on a man in a protective suit.",The dog is not standing still on the ground.,1
A girl sliding down a pole,she eats a pumpkin,0
Two children running on the sidewalk along side the street.,Two children are indoors watching television.,0
A small child in poverty conditions is holding a chicken.,A kid has a big mac.,0
A man and a woman wear dark colored shirts in a beige room with a moniter in the background.,A woman is working on a project on the computer.,0
a man in green shorts holds a stick with a marshmallow in front of a fire.,A man is washing his hands in a sink.,0
A girl drawing a picture with a lady helping her standing behind her.,A girl is drawing a picture.,1
A white female sitting behind a programmes and ice cream stand.,A woman is sitting near an ice cream stand.,1
A man in a bathing suit stands near a yellow kayak.,The man is near the kayak.,1
Construction men are climbing wooden supports.,Some men are painting a house.,0
A woman rides a horse near a frozen lake in the winter time.,The woman is flying on her horse.,0
"A group of women in pink dresses, walking across a street.","A group of cross dressing men in pink dresses, walking across a street to customers.",0
A man stands in a lighted set room.,A woman stands in a lighted set room.,0
old lady cleaning her home with leafs,The older woman cleans with leaves.,1
Children running into a doorway to enter a building.,The children are running to get inside.,1
"Several people sit on a crowded subway, while two woman stand in the middle holding the poles.",There were many people in the subway.,1
A woman in a floppy sunhat lounges on a large black tube while in the water.,The woman is lounging on the water.,1
Two men in white robes standing in front of a crowd of people.,The men are wearing white.,1
A man is placing cookie dough on cookie sheets for baking.,A man is baking brownies.,0
Young Asian girl on mothers shoulders claps her hands.,A mother is running after her child.,0
Cheerleaders in blue uniforms are performing a routine.,Cheerleaders are performing a routine.,1
A boy and a woman in a white shawl working with plant products underneath a tree.,The field is barren and has no trees.,0
Cars driving down a street lined with ornate walls and power lines.,A street lined with walls and power lines has cars driving down it,1
"A crowd watches as two people in white share a moment in celebration with watermelon baskets, white flowers, champagne bottles and decorations in the foreground.",There is nobody in the crowd.,0
"A man wearing a gray shirt, blue jeans, glasses, and sneakers is teeing of a golf ball with a golf clove.",Someone playing golf,1
"In an urban setting, a smiling couple is photographed mid-jump with a water fountain in the backdrop.",A couple is smiling.,1
An older woman with blond-hair and sunglasses leans against a railing outdoors.,The woman is outside.,1
A girl bouncing on a colorful sheet.,A girl is playing.,1
2 police officers with helmets on are looking down at something and are riding on horseback.,Two cops are riding horses.,1
Four boys play on a merry-go-round at a park.,Four children riding a merry-go-round.,1
A girl in a colorful dress and sunglasses is playing a violin on the street.,Someone is performing.,1
Two people waiting to cross the road and a man walking in the street.,Two friends are walking on the road,1
A boy jumps from a swing set.,A boy is playing.,1
"Next to a bus, a collision happened involving two vehicles.",There are no cars in the picture.,0
Two Chinese women at the cash and rap store third women counting her money for her purchase.,A black man is water skiing.,0
A rock band composed of 3 musicians playing at a concert with stunning visual light displays.,"A faithful tribute to folk musicians Peter, Paul and Mary is underway.",0
A white and brown dog runs in a field with a tennis ball in its mouth.,A black dog sits still in the woods.,0
"Three guys, one playing the guitar, one playing the keyboard accordion and one playing the violin.",All three guys are playing guitars.,0
an upside down man doing a flip on a waterski board,An upside down man is doing a flip.,1
A young man rides a unicycle down a sidewalk.,The old man rides his bicycle.,0
Two women dancing on a walkway with band in the background and pedestrians walking by,There is a band playing in the background.,1
A group of men cleaning a floor.,a group of men are playing guitars,0
A worker walking down the street.,A worker is riding his bike home.,0
Young boy on a floatation device in a lake with boats nearby.,A boy sinks to the bottom of Lake Michigan and drowns.,0
Man standing on the street holding a sign,A man was sitting at his computer.,0
A man riding his bike looking ahead at finish line.,A man is in a race.,1
Stuff animal prizes people may win by playing a carnival game.,Dolls lined up on a child's bed.,0
Multiple people are sitting in outside of a hut.,A group of people are sitting in a church.,0
People rollerblading and riding their bikes down a busy street.,People sit in a cafe eating cheerios.,0
Yorkshire Terrier plays with multicolor centipede toy.,Dog takes a nap on the couch.,0
A man in an unusual outfit is standing with a cigar in his mouth.,A man in a plain suit is sitting at the bus stop.,0
A dirt road that has trees on one side and run down buildings on the other.,A huge crowd tries to fit in the kitchen.,0
A man peers from behind the protective cage of a piece of heavy machinery while wearing protective headphones on his head.,Nobody has headphones,0
